URL,Title,Address
https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/7057881026.html,ARCHITECT Senior/ Intermediate,QUEENS
https://newyork.craigslist.org/stn/egr/d/staten-island-engineering-architectural/7057870003.html,Engineering/Architectural CAD Operator,Staten Island
https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7057792523.html,Career Opportunities in Engineering for Immigrant Professionals,New York
https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7057770577.html,Architecture Project Manager,"Williamsburg, Brooklyn"
https://newyork.craigslist.org/brk/egr/d/new-york-construction-project-manager/7057758260.html,Construction Project Manager / Project Manager / Const. Superintendent,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7057756761.html,PROJECT MANAGER,NEW YORK
https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057735724.html,Experienced Architect/Drafter,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057731846.html,Experienced Architect/Drafter,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-av-field-engineer/7057656189.html,AV Field Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-av-associate-engineer/7057655582.html,AV Associate Engineer,
https://newyork.craigslist.org/brk/egr/d/brooklyn-maintenance-technician/7057250493.html,Maintenance Technician,
https://newyork.craigslist.org/que/egr/d/east-elmhurst-drafters-needed/7056803202.html,Drafters Needed,"Queens, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/7056696382.html,Junior Architect/Draft person,New York
https://newyork.craigslist.org/mnh/egr/d/new-york-midtown-architecture-office/7056685398.html,Midtown Architecture Office searching for an Architecture Candidate,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-registered-architect-new/7056591833.html,Registered Architect - New Office in NY - High Rise Buildings,New York City
https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-junior/7056532602.html,Architectural Junior/Senior Drafter,Huntington Station
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7056525899.html,Architectural Senior Drafter/Job Captain,Midtown West
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-apm-administrator/7056106668.html,Construction APM / Administrator Role,Brooklyn NY
https://newyork.craigslist.org/que/egr/d/draftsman-estimator-assistant-project/7056086983.html,Draftsman/estimator/assistant project manager.,Ridgewood
https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-mep-engineering/7056037024.html,AutoCad Drafter - MEP Engineering,Brooklyn
https://newyork.craigslist.org/que/egr/d/astoria-junior-architect-estimator/7055965972.html,Junior Architect/ Estimator,"Astoria, Queens"
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect-wanted-in/7055908472.html,Project Architect Wanted in Industry City,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-engineer-architect/7055826729.html,JUNIOR ENGINEER / ARCHITECT,
